entry_date,exit_date,entry_price,exit_price,return_pct,return_pct_net,exit_reason,holding_days,entry_rsi,entry_macd_hist,entry_bb_pct,entry_vol_ratio,entry_near_fib,entry_entry_type,symbol
2016-11-01,2016-11-02,12069.685546875,11956.958984375,-0.009339643693466926,-0.011939643693466926,bb_mid_break,1,49.1,14.0567,0.79,2.4,True,fib_pullback,3MINDIA
2019-05-27,2019-05-29,21920.533203125,20166.890546875,-0.07999999999999992,-0.08259999999999992,stop_loss,2,60.7,102.7149,1.14,1.29,True,fib_pullback,3MINDIA
2019-06-21,2019-07-05,21547.00390625,20836.525390625,-0.03297342492330992,-0.03557342492330992,bb_mid_break,14,63.7,71.8056,0.82,2.24,True,fib_pullback,3MINDIA
2020-03-05,2020-03-09,20957.126953125,19280.556796875,-0.07999999999999999,-0.08259999999999999,stop_loss,4,51.9,47.6455,0.67,5.13,True,fib_pullback,3MINDIA
2020-11-27,2020-12-10,20024.40234375,20625.263671875,0.030006455014750556,0.027406455014750555,macd_bear_cross,13,61.8,40.5871,0.77,6.68,False,golden_cross,3MINDIA
2021-02-08,2021-03-02,19674.728515625,22956.373046875,0.16679490792687837,0.16419490792687838,rsi_overbought,22,52.2,136.3845,0.74,1.54,True,fib_pullback,3MINDIA
2021-08-31,2021-09-28,22336.232421875,22662.373046875,0.014601416158286123,0.012001416158286121,macd_bear_cross,28,54.1,31.6107,0.74,2.33,True,fib_pullback,3MINDIA
2022-01-03,2022-01-07,23623.53515625,23397.482421875,-0.00956896302267419,-0.01216896302267419,rsi_overbought,4,61.5,114.8143,0.85,1.41,True,fib_pullback,3MINDIA
2022-11-10,2022-12-05,21578.505859375,21927.759765625,0.01618526827232865,0.013585268272328647,macd_bear_cross,25,51.0,20.0955,0.78,1.5,True,fib_pullback,3MINDIA
2023-02-08,2023-02-14,21936.73046875,21233.16015625,-0.032072706254118954,-0.03467270625411895,macd_bear_cross,6,57.4,31.973,0.85,6.88,True,fib_pullback,3MINDIA
2023-12-04,2023-12-06,29858.455078125,29372.076171875,-0.016289486678978664,-0.018889486678978665,bb_mid_break,2,47.3,27.9545,0.7,2.56,True,fib_pullback,3MINDIA
2026-02-03,2026-02-10,34524.99609375,37097.73828125,0.07451824702641281,0.07191824702641281,rsi_overbought,7,51.5,59.217,0.66,1.04,True,fib_pullback,3MINDIA
2017-10-25,2017-11-06,1197.83203125,1181.125244140625,-0.013947520748748552,-0.016547520748748552,bb_mid_break,12,52.2,0.0383,0.62,3.12,True,fib_pullback,ABB
2017-11-22,2017-11-28,1216.2655029296875,1218.12158203125,0.0015260476409892883,-0.0010739523590107115,rsi_overbought,6,57.4,4.4579,0.88,2.07,True,fib_pullback,ABB
2019-12-19,2019-12-20,1283.53271484375,1208.8199462890625,-0.058208698298572475,-0.060808698298572474,macd_bear_cross,1,57.9,2.3912,0.75,1.21,True,fib_pullback,ABB
2022-04-05,2022-04-21,2133.5693359375,2071.666015625,-0.029013971690448673,-0.031613971690448675,macd_bear_cross,16,59.6,16.1949,0.96,1.33,True,fib_pullback,ABB
2023-09-05,2023-09-13,4315.13720703125,4218.25830078125,-0.022450944570694485,-0.025050944570694487,bb_mid_break,8,62.0,5.7387,0.75,1.16,True,fib_pullback,ABB
2023-11-30,2023-12-04,4294.68212890625,4499.7119140625,0.047740386599570306,0.04514038659957031,rsi_overbought,4,61.9,8.6099,1.02,2.45,True,fib_pullback,ABB
2024-09-23,2024-10-07,7753.0693359375,7575.98095703125,-0.022841067354499093,-0.025441067354499095,bb_mid_break,14,55.2,22.909,0.86,1.02,True,fib_pullback,ABB
2016-10-10,2016-10-17,1515.9940185546875,1458.025634765625,-0.03823787104669989,-0.040837871046699885,bb_mid_break,7,57.6,4.1069,0.99,1.55,True,fib_pullback,ACC
2017-07-11,2017-07-17,1506.2745361328125,1594.4176025390625,0.05851726514115231,0.05591726514115231,rsi_overbought,6,49.5,3.7485,0.82,1.0,True,fib_pullback,ACC
2017-12-28,2018-01-04,1605.798583984375,1654.1934814453125,0.03013758882565337,0.027537588825653367,rsi_overbought,7,60.5,5.8242,0.87,1.36,True,fib_pullback,ACC
2019-07-16,2019-07-19,1511.288818359375,1446.446044921875,-0.04290561317584022,-0.04550561317584022,bb_mid_break,3,55.4,8.0775,0.99,1.14,True,fib_pullback,ACC
2020-09-15,2020-09-23,1315.8033447265625,1285.25390625,-0.023217328485291993,-0.025817328485291995,bb_mid_break,8,48.4,0.9644,0.62,1.05,True,fib_pullback,ACC
2021-01-06,2021-01-11,1588.61279296875,1695.4405517578125,0.06724593888572818,0.06464593888572817,rsi_overbought,5,57.4,5.6981,0.95,1.2,True,fib_pullback,ACC
2021-10-29,2021-11-09,2230.554443359375,2426.423583984375,0.08781186274476539,0.08521186274476539,rsi_overbought,11,63.4,9.4683,1.08,1.07,True,fib_pullback,ACC
2022-02-01,2022-02-11,2229.7421875,2150.209228515625,-0.0356691277719187,-0.038269127771918696,bb_mid_break,10,53.3,3.7363,0.78,1.22,True,fib_pullback,ACC
2022-06-29,2022-06-30,2117.34912109375,2084.634765625,-0.015450619429190253,-0.018050619429190253,death_cross,1,53.5,7.7791,0.78,1.48,True,golden_cross,ACC
2022-11-01,2022-11-04,2385.35205078125,2437.075927734375,0.021683959370351395,0.019083959370351393,rsi_overbought,3,63.1,17.7206,1.0,1.12,True,fib_pullback,ACC
2022-11-28,2022-11-30,2482.66015625,2518.174560546875,0.014304980167127938,0.011704980167127937,rsi_overbought,2,56.9,5.8307,1.02,1.7,True,fib_pullback,ACC
2024-04-25,2024-05-06,2547.18017578125,2458.21240234375,-0.03492794670883953,-0.03752794670883953,bb_mid_break,11,43.6,6.2822,0.72,5.22,True,fib_pullback,ACC
2017-01-04,2017-01-06,1232.0369873046875,1205.2154541015625,-0.021770071417906166,-0.024370071417906168,macd_bear_cross,2,54.7,1.2802,0.72,1.32,True,fib_pullback,AIAENG
2018-12-12,2018-12-13,1589.01806640625,1572.917236328125,-0.010132565776636453,-0.012732565776636454,macd_bear_cross,1,58.1,0.2726,0.54,1.08,True,fib_pullback,AIAENG
2019-01-15,2019-01-16,1597.260009765625,1569.706787109375,-0.01725030520252807,-0.019850305202528073,macd_bear_cross,1,56.1,0.6904,0.65,3.12,True,fib_pullback,AIAENG
2019-01-22,2019-01-23,1595.63037109375,1571.1444091796875,-0.015345635403817372,-0.017945635403817373,macd_bear_cross,1,52.5,0.7514,0.55,1.01,True,fib_pullback,AIAENG
2019-02-08,2019-02-20,1592.0367431640625,1547.951904296875,-0.02769084259925556,-0.03029084259925556,bb_mid_break,12,49.9,1.0579,0.77,1.14,True,fib_pullback,AIAENG
2020-08-14,2020-08-31,1669.6480712890625,1764.190673828125,0.05662426960794815,0.05402426960794815,rsi_overbought,17,51.7,0.5396,0.75,1.08,True,fib_pullback,AIAENG
2021-05-12,2021-06-01,1880.8145751953125,1867.447998046875,-0.007106802193432307,-0.009706802193432309,bb_mid_break,20,57.0,1.5877,0.92,3.96,True,fib_pullback,AIAENG
2021-06-08,2021-06-21,1932.173828125,1975.0140380859375,0.02217202683182499,0.019572026831824987,rsi_overbought,13,54.5,2.0775,0.82,2.46,True,fib_pullback,AIAENG
2021-08-31,2021-09-15,1988.7054443359375,2106.562255859375,0.05926308084442937,0.05666308084442937,rsi_overbought,15,59.6,7.486,1.08,2.04,True,fib_pullback,AIAENG
2023-01-30,2023-02-01,2610.84521484375,2815.6318359375,0.07843690615186691,0.0758369061518669,rsi_overbought,2,63.0,19.8362,0.97,2.71,True,fib_pullback,AIAENG
2023-11-08,2023-11-16,3576.73291015625,3531.478515625,-0.012652438878717689,-0.015252438878717689,macd_bear_cross,8,55.5,16.0742,0.69,1.44,True,fib_pullback,AIAENG
2016-10-18,2016-10-21,89.01268005371094,89.82427978515625,0.009117799070374995,0.006517799070374995,rsi_overbought,3,59.5,0.6433,0.99,1.25,True,fib_pullback,APLAPOLLO
2016-11-04,2016-11-09,89.28642272949219,82.14350891113281,-0.08,-0.0826,stop_loss,5,64.3,0.1657,0.7,1.7,True,fib_pullback,APLAPOLLO
2016-12-16,2016-12-22,87.3942642211914,84.57044982910156,-0.032311209634340324,-0.03491120963434032,bb_mid_break,6,53.5,0.3116,0.83,2.71,True,fib_pullback,APLAPOLLO
2018-04-05,2018-04-10,204.6587371826172,209.1785430908203,0.022084597855062976,0.019484597855062975,rsi_overbought,5,63.3,2.3857,1.08,2.3,True,fib_pullback,APLAPOLLO
2021-10-19,2021-10-20,871.1683349609375,840.935791015625,-0.0347034467760678,-0.0373034467760678,macd_bear_cross,1,58.8,0.2072,0.73,1.59,True,fib_pullback,APLAPOLLO
2022-03-11,2022-04-13,887.8380737304688,1046.5955810546875,0.1788135832665525,0.1762135832665525,rsi_overbought,33,63.2,9.4237,1.0,1.23,True,fib_pullback,APLAPOLLO
2023-01-04,2023-01-30,1123.5604248046875,1124.005859375,0.000396449145483147,-0.002203550854516853,macd_bear_cross,26,47.2,1.5414,0.65,1.68,True,fib_pullback,APLAPOLLO
2023-04-18,2023-04-27,1215.60693359375,1188.933349609375,-0.021942605991493287,-0.02454260599149329,bb_mid_break,9,46.0,1.6107,0.86,1.71,True,fib_pullback,APLAPOLLO
2023-11-10,2023-12-04,1642.4864501953125,1606.897705078125,-0.02166760347578852,-0.024267603475788522,macd_bear_cross,24,44.0,3.1285,0.56,1.42,True,fib_pullback,APLAPOLLO
2024-07-03,2024-07-04,1584.1151123046875,1569.2244873046875,-0.009399963982627513,-0.011999963982627513,macd_bear_cross,1,52.0,0.5899,0.56,1.37,True,fib_pullback,APLAPOLLO
2024-11-29,2024-12-12,1511.1258544921875,1601.0618896484375,0.059515913177511565,0.056915913177511566,rsi_overbought,13,48.4,1.6804,0.65,3.24,True,fib_pullback,APLAPOLLO
2025-12-04,2025-12-08,1772.9000244140625,1736.0999755859375,-0.020756979142288235,-0.023356979142288237,bb_mid_break,4,52.2,1.2973,0.67,1.49,True,fib_pullback,APLAPOLLO
2025-12-17,2025-12-22,1764.5,1863.300048828125,0.05599322687907339,0.05339322687907339,rsi_overbought,5,58.1,1.3509,0.89,1.55,True,fib_pullback,APLAPOLLO
2026-04-17,2026-04-24,2105.699951171875,2004.5,-0.048060005470178545,-0.05066000547017854,bb_mid_break,7,61.7,20.6587,1.0,1.08,True,fib_pullback,APLAPOLLO
2021-10-26,2021-10-29,626.72900390625,576.59068359375,-0.08000000000000002,-0.08260000000000002,stop_loss,3,58.5,2.5165,1.06,1.73,True,fib_pullback,AUBANK
2021-11-02,2021-11-03,618.8760986328125,601.9273071289062,-0.027386405035432132,-0.029986405035432134,bb_mid_break,1,54.1,1.265,0.82,1.11,True,fib_pullback,AUBANK
2022-01-05,2022-01-07,581.201171875,606.8727416992188,0.044169852138116444,0.041569852138116446,rsi_overbought,2,52.3,6.9454,0.83,5.77,True,fib_pullback,AUBANK
2023-02-07,2023-02-16,645.6988525390625,623.2636108398438,-0.034745673793591725,-0.03734567379359172,bb_mid_break,9,57.8,3.3581,1.07,1.38,True,fib_pullback,AUBANK
2023-08-24,2023-09-04,742.9838256835938,713.9937133789062,-0.039018497176590214,-0.04161849717659021,bb_mid_break,11,57.8,4.2098,0.98,1.45,True,fib_pullback,AUBANK
2023-09-20,2023-09-28,752.597412109375,717.6797485351562,-0.046396204680470204,-0.0489962046804702,bb_mid_break,8,61.9,2.7621,1.12,2.65,True,fib_pullback,AUBANK
2023-11-13,2023-11-20,726.9944458007812,731.3778686523438,0.006029513536013578,0.0034295135360135785,rsi_overbought,7,62.7,5.4758,1.05,1.72,True,fib_pullback,AUBANK
2026-04-08,2026-04-21,966.8610229492188,1036.89306640625,0.07243237838196469,0.06983237838196468,rsi_overbought,13,60.5,7.9255,1.08,1.69,True,fib_pullback,AUBANK
2019-09-06,2019-09-13,1565.449951171875,1508.550048828125,-0.03634731490531236,-0.03894731490531236,macd_bear_cross,7,46.8,1.8318,0.74,2.17,True,fib_pullback,AAVAS
2021-05-24,2021-05-27,2325.14990234375,2311.0,-0.006085587139774045,-0.008685587139774045,rsi_overbought,3,59.5,8.1015,0.89,1.19,True,fib_pullback,AAVAS
2021-09-24,2021-10-12,2573.75,2808.75,0.09130645944633317,0.08870645944633317,rsi_overbought,18,63.6,15.7924,1.0,1.51,True,fib_pullback,AAVAS
2025-06-24,2025-07-07,1892.800048828125,1882.9000244140625,-0.005230359339958718,-0.007830359339958718,bb_mid_break,13,60.5,4.0267,0.81,1.01,True,fib_pullback,AAVAS
2025-07-08,2025-07-15,1973.5999755859375,1952.5,-0.010691110583173359,-0.013291110583173359,macd_bear_cross,7,62.3,1.4378,0.72,4.61,True,fib_pullback,AAVAS
2020-08-07,2020-08-12,370.45001220703125,362.5,-0.02146041826174451,-0.02406041826174451,rsi_overbought,5,60.8,1.3472,1.11,2.67,True,fib_pullback,ADANIGREEN
