Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
ABB,71.86,5.57,14.05,-0.14,50.0,6,5.95
APLAPOLLO,65.91,5.2,12.82,-0.2,50.0,6,4.21
ABCAPITAL,40.7,3.9,12.91,-0.33,60.0,5,4.16
ADVENZYMES,-1.86,-0.19,20.47,-0.97,33.33,6,1.05
ADANIPOWER,-2.03,-0.21,21.29,-1.22,40.0,5,0.94
ADANIGREEN,-2.47,-0.31,17.68,-1.27,33.33,3,0.78
AIAENG,-7.88,-0.82,24.92,-0.86,16.67,6,0.65
AAVAS,-9.44,-1.26,9.44,-2.59,0.0,2,
AUBANK,-13.83,-1.63,27.93,-1.11,28.57,7,0.56
ABFRL,-20.52,-2.27,22.07,-1.43,20.0,5,0.07
3MINDIA,-20.93,-2.32,34.27,-1.23,12.5,8,0.24
ACC,-22.99,-2.58,26.78,-1.38,16.67,6,0.26
ADANIPORTS,-33.42,-3.99,41.0,-1.4,20.0,10,0.22
